SONG_ID,SOURCE,ANNOTATOR1,ANNOTATOR2,FILE_LOCATION,SONG_DURATION,EMPTY,SONG_TITLE,ARTIST,FORMAT,ANNOTATION_TIME1,ANNOTATION_TIME2,TEXTFILE1,TEXTFILE2,CLASS,GENRE,SUBMISSION_DATE1,SUBMISSION_DATE2,SONG_WAS_PRIVATE_FLAG,SONG_WAS_DISCARDED_FLAG,XEQS1,XEQS2
956,IA,7,6,/srv/salami/data/IA/Live_Music_Archive/Burden_Hand/Revolution,320.0,,Revolution,Burden_Hand,mp3,18.0,20.0,/srv/salami/data/IA/Live_Music_Archive/Burden_Hand/Revolution/textfile1.txt,/srv/salami/data/IA/Live_Music_Archive/Burden_Hand/Revolution/textfile2.txt,Live_Music_Archive,,2010-11-01,2010-08-08,0,False,0,0
958,IA,16,14,/srv/salami/data/IA/Live_Music_Archive/5point/Rap_Medley,344.0,,Rap_Medley,5point,mp3,15.0,,/srv/salami/data/IA/Live_Music_Archive/5point/Rap_Medley/textfile1.txt,,Live_Music_Archive,,2011-03-15,,0,False,0,0
960,IA,2,7,/srv/salami/data/IA/Live_Music_Archive/Absolute_Gruv/Woman_Across_The_River,293.0,,Woman_Across_The_River,Absolute_Gruv,mp3,20.0,25.0,/srv/salami/data/IA/Live_Music_Archive/Absolute_Gruv/Woman_Across_The_River/textfile1.txt,/srv/salami/data/IA/Live_Music_Archive/Absolute_Gruv/Woman_Across_The_River/textfile2.txt,Live_Music_Archive,,2010-08-23,2010-07-21,0,False,0,0
962,IA,16,14,/srv/salami/data/IA/Live_Music_Archive/Afrissippi/_,579.0,,_,Afrissippi,mp3,30.0,,/srv/salami/data/IA/Live_Music_Archive/Afrissippi/_/textfile1.txt,,Live_Music_Archive,,2011-03-15,,0,False,0,0
964,IA,16,14,/srv/salami/data/IA/Live_Music_Archive/Against_Me_/Encore_Break_Crowd_Noise,161.0,,Encore_Break_Crowd_Noise,Against_Me_,mp3,5.0,,/srv/salami/data/IA/Live_Music_Archive/Against_Me_/Encore_Break_Crowd_Noise/textfile1.txt,,Live_Music_Archive,,2011-03-15,,0,False,0,0
966,IA,10,10,/srv/salami/data/IA/Live_Music_Archive/Akidna_Pillow/drums_space_,557.0,,drums_space_,Akidna_Pillow,mp3,3.0,7.0,,,Live_Music_Archive,,2011-01-31,2010-08-24,0,True,0,0
968,IA,16,14,/srv/salami/data/IA/Live_Music_Archive/Al_and_the_Transamericans/Quinn_the_Eskimo_The_Mighty_Quinn,377.0,,Quinn_the_Eskimo_The_Mighty_Quinn,Al_and_the_Transamericans,mp3,15.0,,/srv/salami/data/IA/Live_Music_Archive/Al_and_the_Transamericans/Quinn_the_Eskimo_The_Mighty_Quinn/textfile1.txt,,Live_Music_Archive,,2011-03-15,,0,False,0,0
970,IA,4,6,/srv/salami/data/IA/Live_Music_Archive/All_Mighty_Senators/Should_I_stay_or_should_I_go,132.0,,Should_I_stay_or_should_I_go,All_Mighty_Senators,mp3,15.0,10.0,/srv/salami/data/IA/Live_Music_Archive/All_Mighty_Senators/Should_I_stay_or_should_I_go/textfile1.txt,/srv/salami/data/IA/Live_Music_Archive/All_Mighty_Senators/Should_I_stay_or_should_I_go/textfile2.txt,Live_Music_Archive,,2010-09-15,2010-08-08,0,False,0,0
972,IA,4,8,/srv/salami/data/IA/Live_Music_Archive/Almost_Acoustic_Band/High_Mountain_Girls_Can_Love_,210.0,,High_Mountain_Girls_Can_Love_,Almost_Acoustic_Band,mp3,15.0,10.0,/srv/salami/data/IA/Live_Music_Archive/Almost_Acoustic_Band/High_Mountain_Girls_Can_Love_/textfile1.txt,/srv/salami/data/IA/Live_Music_Archive/Almost_Acoustic_Band/High_Mountain_Girls_Can_Love_/textfile2.txt,Live_Music_Archive,,2010-09-15,2010-08-11,0,False,0,0
974,IA,5,6,/srv/salami/data/IA/Live_Music_Archive/Anna_Troy/Never_Been_in_love,217.0,,Never_Been_in_love,Anna_Troy,mp3,20.0,15.0,/srv/salami/data/IA/Live_Music_Archive/Anna_Troy/Never_Been_in_love/textfile1.txt,/srv/salami/data/IA/Live_Music_Archive/Anna_Troy/Never_Been_in_love/textfile2.txt,Live_Music_Archive,,2010-08-11,2010-08-08,0,False,0,0
