File,Duration,BPM,Time_Signature,Genre
0001_12step,142.47,113,4|4,R&B
0003_6foot7foot,157.347,84,4|4,Hip-Hop
0004_abc,180.955,94,4|4,Pop-Rock
0006_aint2proud2beg,181.03400000000002,105,4|4,R&B
0008_america,222.683,136,4|4,Metal
0009_americanmusic,223.80700000000002,133,4|4,Alternative
0011_areyouexperienced,257.717,82,4|4,Classic Rock
0012_aroundtheworld,154.601,121,4|4,Dance/Electronic
0013_athingaboutyou,300.307,152,4|4,Rock
0014_babaoriley,313.928,118,4|4,Classic Rock
0015_babygotback,148.82299999999998,129,4|4,Hip-Hop
0017_badromance,165.582,119,4|4,Pop
0018_bassdownlow,148.222,113,4|4,Pop
0020_becauseofyou,203.675,110,4|4,R&B
0021_better,303.967,98,4|4,Rock
0022_betteroffalone,161.373,137,4|4,Dance/Electronic
0023_bewareoftheboys,151.908,98,4|4,World
0024_billionaire,216.382,87,4|4,Hip-Hop
0026_blackandyellow,171.15099999999998,82,4|4,Hip-Hop
0027_blackened,402.194,190,4|4,Metal
0028_blackmagic,244.984,185,4|4,Metal
0030_bodymovin,168.458,102,4|4,Hip-Hop
0032_boomboompow,154.81,130,4|4,Hip-Hop
0035_boyfriend,173.4,97,4|4,Pop
0037_breakyourheart,134.444,122,4|4,Pop
0038_bringmetolife,236.40900000000002,95,4|4,Rock
0039_bulletproof,126.992,123,4|4,Pop
0040_bustamove,153.94799999999998,118,4|4,Hip-Hop
0041_calabria,155.543,126,4|4,Reggaeton
0042_callme,231.467,143,4|4,Rock
0043_callmemaybe,196.22400000000002,120,4|4,Pop
0044_cameraeye,647.538,166,4|4,Prog
0045_cantgetyou,137.372,126,4|4,Pop
0046_castlesmadeofsand,170.262,94,4|4,Classic Rock
0047_chinacatsunflower,229.14,98,4|4,Classic Rock
0048_chingaling,174.28799999999998,102,4|4,Hip-Hop
0049_closer,144.954,126,4|4,R&B
0050_clubcanthandleme,157.686,128,4|4,Pop
0052_collector,191.12599999999998,138,4|4,Rock
0053_commander,138.888,125,4|4,Pop
0054_conceited,162.41899999999998,99,4|4,Hip-Hop
0055_constantmotion,422.09,180,4|4,Prog
0056_control,132.16899999999998,120,4|4,Pop
0057_crankthat,137.372,140,4|4,Hip-Hop
0058_criticalacclaim,315.471,138,4|4,Metal
0059_cupidshuffle,151.072,144,4|4,Hip-Hop
0061_dabutt,170.602,97,4|4,Hip-Hop
0062_dance,138.235,113,4|4,Dance/Electronic
0063_daysgoby,115.488,127,4|4,Dance/Electronic
0065_deadandbloated,319.053,61,4|4,Alternative
0066_decentdaysandnights,155.15,172,4|4,Punk
0068_devilsisland,311.392,167,4|4,Metal
0069_digginmedown,365.721,110,4|4,Metal
0070_dipitlow,159.30700000000002,84,4|4,R&B
0072_discoinferno,141.607,130,4|4,Funk/Disco
0073_disturbia,135.045,125,4|4,Pop
0074_djgotusfallininlove,139.751,120,4|4,Pop
0075_dontcha,148.196,120,4|4,R&B
0077_dontsweat,161.713,106,4|4,Hip-Hop
0078_donttouchme,165.97400000000002,113,4|4,Hip-Hop
0079_dontyouwantme,223.25799999999998,117,4|4,Dance/Electronic
0080_down,144.196,132,4|4,Pop
0081_downonme,162.209,80,4|4,Hip-Hop
0082_dragosteadintei,146.496,130,4|4,Pop
0083_dragthewaters,300.751,126,4|4,Metal
0084_dropitlikeitshot,167.125,92,4|4,Hip-Hop
0085_electricboogie,159.987,108,4|4,Reggaeton
0086_escapade,167.15099999999998,115,4|4,Pop
0087_evacuate,121.162,127,4|4,Pop
0088_everybody,170.236,108,4|4,Pop
0090_fearofthedarklive,449.228,100,4|4,Metal
0092_fergalicious,149.032,129,4|4,Pop
0093_fireburning,148.483,123,4|4,Reggaeton
0094_fireflies,230.47400000000002,90,4|4,Pop
0095_firework,166.65400000000002,124,4|4,Pop
0096_fivemagics,343.86400000000003,174,4|4,Metal
0098_floods,424.44300000000004,120,4|4,Metal
0099_forgetyou,165.19,128,4|4,R&B
0100_futureperfecttense,268.279,120,4|4,Indie Rock
0101_galang,160.066,101,4|4,Reggaeton
0102_gangstaluv,242.63099999999997,102,4|4,Hip-Hop
0104_getbusy,173.007,100,4|4,Reggaeton
0105_getdownonit,169.609,111,4|4,Funk/Disco
0106_getitshawty,146.444,128,4|4,R&B
