File,Duration,BPM,Time_Signature,Genre,Labels,Sections
0001_12step,142.47,113,4|4,R&B,"[  0.         8.495568  25.486704  42.475328  59.47014   78.594744
  95.585708 112.578716 129.565932]","['intro' 'verse' 'chorus' 'verse' 'chorus' 'verse' 'chorus' 'chorus'
 'outro']"
0003_6foot7foot,157.347,84,4|4,Hip-Hop,"[  0.         2.857108   8.571396  31.428548  37.142836  59.999988
  65.714276  88.571428  94.285716 117.142868 122.857156 145.714308]","['silence' 'chorus' 'verse' 'chorus' 'verse' 'chorus' 'verse' 'chorus'
 'verse' 'chorus' 'verse' 'chorus']"
0004_abc,180.955,94,4|4,Pop-Rock,"[  0.         2.666656  28.300543  58.26318   78.843287 106.457736
 138.973914 153.598533 168.288673]","['silence' 'verse' 'chorus' 'verse' 'chorus' 'bridge' 'chorus' 'chorus'
 'chorus']"
0006_aint2proud2beg,181.034,105,4|4,R&B,"[  0.        27.4652    45.203726  63.518523  84.114769 102.991456
 120.733625 139.039637]","['intro' 'verse' 'transition' 'chorus' 'verse' 'bridge' 'transition'
 'chorus']"
0008_america,222.683,136,4|4,Metal,"[  0.         3.871208  10.56504   33.217138  56.851904  89.860954
 103.898344 127.22776  147.719182 172.459956 186.452903 209.089455]","['silence' 'intro' 'verse' 'verse' 'bridge' 'solo/instrumental' 'verse'
 'verse' 'bridge' 'solo/instrumental' 'verse' 'silence']"
0009_americanmusic,223.807,133,4|4,Alternative,"[  0.         3.5       26.331066  54.754422  70.732478  99.436394
 119.15739  133.478814 162.693966]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'solo/instrumental'
 'verse' 'chorus']"
0011_areyouexperienced,257.717,82,4|4,Classic Rock,"[  0.          6.         17.717974   41.247086   58.632984   82.172474
  99.824011  176.3281709 198.6445849 221.6618369]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'solo/instrumental'
 'verse' 'chorus' 'outro']"
0012_aroundtheworld,154.601,121,4|4,Dance/Electronic,"[  0.        15.83716   47.496636  55.41536   71.242464  87.075984
 126.646904 134.565624]","['intro' 'chorus' 'solo/instrumental' 'chorus' 'solo/instrumental'
 'chorus' 'solo/instrumental' 'chorus']"
0013_athingaboutyou,300.307,152,4|4,Rock,"[  0.         4.125     10.847288  35.563652  56.425581  80.935345
  97.829245 154.720171 178.696465]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'bridge' 'chorus'
 'solo/instrumental']"
0014_babaoriley,313.928,118,4|4,Classic Rock,"[  0.         4.033592  77.96937  131.642884 156.320204 195.603676
 212.7116  ]",['silence' 'intro' 'verse' 'bridge' 'verse' 'chorus' 'solo/instrumental']
0015_babygotback,148.82299999999995,129,4|4,Hip-Hop,"[  0.        13.540838  37.354064  59.299586  67.237328  82.17896
 112.062224 130.272338 138.21008 ]","['intro' 'verse' 'verse' 'chorus' 'transition' 'verse' 'verse' 'chorus'
 'solo/instrumental']"
0017_badromance,165.582,119,4|4,Pop,"[  0.         2.016788  18.151252  50.42018   58.487412  90.75634
 106.890804 123.025268]",['silence' 'intro' 'verse' 'transition' 'chorus' 'intro' 'bridge' 'chorus']
0018_bassdownlow,148.222,113,4|4,Pop,[  0.         1.592914  27.610591  52.566322  87.079567 112.035298],['silence' 'chorus' 'verse' 'chorus' 'verse' 'chorus']
0020_becauseofyou,203.675,110,4|4,R&B,"[  0.         2.1818    24.        57.272755  88.909145  98.18188
 124.36372  136.909185 144.545555 176.181945]","['silence' 'intro' 'verse' 'chorus' 'transition' 'bridge' 'verse'
 'transition' 'chorus' 'transition']"
0021_better,303.967,98,4|4,Rock,"[  0.         4.897952  34.286176  73.469792  90.597483 129.781099
 156.720859 209.37392  224.067776 282.830832]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'bridge' 'chorus'
 'solo/instrumental' 'outro']"
0022_betteroffalone,161.373,137,4|4,Dance/Electronic,"[  0.        29.79046   43.80536   71.839424  85.855528  99.872784
 113.885476 127.9031   141.920632]","['intro' 'solo/instrumental' 'chorus' 'solo/instrumental' 'verse' 'chorus'
 'solo/instrumental' 'chorus' 'verse']"
0023_bewareoftheboys,151.908,98,4|4,World,"[  0.         9.797464  26.912456  36.708012  46.46944   68.495248
  78.285384  88.08534  110.102096 119.897988 139.481832]","['intro' 'verse' 'chorus' 'solo/instrumental' 'verse' 'chorus'
 'solo/instrumental' 'verse' 'chorus' 'solo/instrumental' 'outro']"
0024_billionaire,216.382,87,4|4,Hip-Hop,"[  0.           5.454512    27.52414731  50.93477045  85.42290845
 117.13601045 151.62738045 173.70702329 206.78101529]","['silence' 'transition' 'chorus' 'verse' 'chorus' 'verse' 'transition'
 'chorus' 'outro']"
0026_blackandyellow,171.15099999999995,82,4|4,Hip-Hop,"[  0.         2.926824  32.195064  67.316952  90.731544 114.146136
 137.560728]",['silence' 'chorus' 'verse' 'chorus' 'verse' 'chorus' 'chorus']
0027_blackened,402.194,190,4|4,Metal,"[  0.         9.999984  81.168731 103.582491 118.695506 141.114021
 153.221439 301.693776 350.813842 373.296551 383.551579]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'bridge'
 'solo/instrumental' 'verse' 'chorus' 'chorus']"
0028_blackmagic,244.984,185,4|4,Metal,"[  0.          4.161828   64.8017175 126.1243855 149.4721925 182.0996325
 200.7350585 225.3121605]","['silence' 'intro' 'verse' 'chorus' 'solo/instrumental' 'bridge'
 'solo/instrumental' 'outro']"
0030_bodymovin,168.458,102,4|4,Hip-Hop,"[  0.         4.660192  28.225932  56.54536   80.125556  94.282984
 122.560048 150.833408]",['intro' 'chorus' 'verse' 'chorus' 'bridge' 'verse' 'chorus' 'outro']
0032_boomboompow,154.81,130,4|4,Hip-Hop,"[  0.         9.23076   23.0769    37.846116  53.538324  67.384464
  83.076756  97.845292 119.07604  134.768332]","['intro' 'chorus' 'verse' 'verse' 'chorus' 'verse' 'verse' 'bridge'
 'verse' 'chorus']"
0035_boyfriend,173.4,97,4|4,Pop,"[  0.         9.896944  30.30645   38.345468  59.385696  79.800466
  87.840108 108.866864 127.419884 148.455888]","['intro' 'verse' 'transition' 'chorus' 'verse' 'transition' 'chorus'
 'bridge' 'chorus' 'outro']"
0037_breakyourheart,134.444,122,4|4,Pop,[ 2.950812  10.327842  26.557308  41.80317   74.757132  89.0189875],['intro' 'verse' 'transition' 'chorus' 'bridge' 'chorus']
0038_bringmetolife,236.409,95,4|4,Rock,"[  0.        10.564006  30.774502  52.234998  74.97303   97.711062
 117.922646 138.13423  158.345814 178.557398 198.768982 213.92767 ]","['intro' 'verse' 'verse' 'chorus' 'verse' 'chorus' 'transition' 'bridge'
 'verse' 'chorus' 'transition' 'outro']"
0039_bulletproof,126.992,123,4|4,Pop,"[  0.        15.613016  48.780746  64.394038  80.005078  95.61627
 111.225966]",['intro' 'verse' 'chorus' 'bridge' 'chorus' 'chorus' 'outro']
0040_bustamove,153.94799999999995,118,4|4,Hip-Hop,"[  0.         5.621319  14.3109    46.969438  63.297714  79.624594
 112.288166]",['silence' 'intro' 'verse' 'chorus' 'bridge' 'verse' 'chorus']
0041_calabria,155.543,126,4|4,Reggaeton,"[  0.        15.161824  30.320992  45.477792  53.056192  60.634096
  75.789904  90.940016 106.087696 121.259568 136.418384]","['intro' 'verse' 'chorus' 'solo/instrumental' 'verse' 'chorus'
 'solo/instrumental' 'verse' 'chorus' 'chorus' 'solo/instrumental']"
0042_callme,231.467,143,4|4,Rock,"[  0.         3.440848  18.606136  38.36236   58.934596  80.36914
 100.964524 166.107316 179.519566 192.961276]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'bridge' 'chorus'
 'chorus' 'chorus']"
0043_callmemaybe,196.224,120,4|4,Pop,"[  0.         4.        23.999996  31.999996  63.999996  83.999996
  91.999996 123.999996 139.999996 171.999996 187.999996]","['silence' 'verse' 'transition' 'chorus' 'verse' 'transition' 'chorus'
 'transition' 'chorus' 'transition' 'outro']"
0044_cameraeye,647.538,166,4|4,Prog,"[  0.       136.529188 213.84478  253.535793 276.902669 401.630398
 444.005738 483.716679 507.053271]","['intro' 'bridge' 'verse' 'bridge' 'chorus' 'bridge' 'verse' 'bridge'
 'chorus']"
0045_cantgetyou,137.372,126,4|4,Pop,"[  0.         1.917688   9.554272  17.173312  32.411392  40.030432
  55.268512  69.554212  93.381256 108.619336 123.857416]","['silence' 'intro' 'chorus' 'verse' 'chorus' 'verse' 'bridge' 'transition'
 'chorus' 'chorus' 'chorus']"
0046_castlesmadeofsand,170.262,94,4|4,Classic Rock,"[  0.          4.049312   21.6102275  49.5111855  60.6636155  87.1518665
 107.2541965 134.4347775 156.9013055]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'verse' 'chorus'
 'intro']"
0047_chinacatsunflower,229.14,98,4|4,Classic Rock,"[  0.         4.444424  22.110718  42.06272   63.379748  82.962572
 104.131844 123.594568 144.634776 163.988898]","['silence' 'intro' 'verse' 'bridge' 'verse' 'bridge' 'chorus'
 'solo/instrumental' 'verse' 'solo/instrumental']"
0048_chingaling,174.28799999999995,102,4|4,Hip-Hop,"[  0.         9.382846  28.208222  56.443054  75.276438 103.495934
 122.322438 150.55335 ]",['intro' 'chorus' 'verse' 'chorus' 'verse' 'chorus' 'verse' 'chorus']
