File,Song_duration,Song_title,Artist,Format,Labels,Sections
956,320.0,Revolution,Burden_Hand,mp3,"[  0.          28.74630385  49.35795918  91.03056689 132.45095238
 152.5884127  192.22426304 231.20195011 259.62206349]","['silence' 'intro' 'verse' 'chorus' 'transition' 'verse' 'chorus'
 'transition' 'outro']"
958,344.0,Rap_Medley,5point,mp3,"[0.00000000e+00 4.50000000e-02 2.61292083e+01 7.14750625e+01
 1.16730063e+02 2.14387292e+02 2.27224562e+02 2.44124104e+02
 2.60263083e+02 2.72872333e+02 3.44043750e+02]","['silence' 'intro' 'verse' 'verse' 'verse' 'transition' 'verse'
 'transition' 'verse' 'outro' 'silence']"
960,293.0,Woman_Across_The_River,Absolute_Gruv,mp3,"[0.00000000e+00 4.89795910e-02 7.62600680e+01 1.08702041e+02
 1.30310363e+02 1.62158526e+02 2.70695238e+02 2.89133696e+02
 2.93773991e+02]","['silence' 'live' 'solo/instrumental' 'bridge' 'solo/instrumental'
 'solo/instrumental' 'outro' 'live' 'silence']"
962,579.0,_,Afrissippi,mp3,"[  0.          15.18585034  56.47031746 104.25839002 183.68145125
 318.60290249 369.62426304 399.75539682 426.06294784 459.21970521
 480.28154195 579.77034014]","['silence' 'intro' 'verse' 'verse' 'solo/instrumental' 'verse' 'verse'
 'transition' 'verse' 'transition' 'outro' 'silence']"
968,377.0,Quinn_the_Eskimo_The_Mighty_Quinn,Al_and_the_Transamericans,mp3,"[  0.           0.86530612   6.80283447  27.48414966  47.89222222
  68.2476644   88.56090703  93.62643991 113.61519274 133.58185941
 153.58514739 173.75507937 193.67133787 213.58362812 233.52575964
 253.48866213 273.66943311 293.78344671 377.97959184]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'transition'
 'solo/instrumental' 'solo/instrumental' 'solo/instrumental'
 'solo/instrumental' 'solo/instrumental' 'solo/instrumental'
 'solo/instrumental' 'verse' 'chorus' 'chorus' 'outro' 'silence']"
970,132.0,Should_I_stay_or_should_I_go,All_Mighty_Senators,mp3,"[0.00000000e+00 3.91836730e-02 2.14887528e+01 4.16142404e+01
 6.18283900e+01 8.23623356e+01 1.02205646e+02 1.15608413e+02]",['silence' 'chorus' 'verse' 'chorus' 'verse' 'chorus' 'chorus' 'outro']
972,210.0,High_Mountain_Girls_Can_Love_,Almost_Acoustic_Band,mp3,"[  0.           0.34829932  27.09086168  52.42832199  77.25276644
 101.98204082 126.04829932 150.14038549]","['silence' 'intro' 'verse' 'solo/instrumental' 'verse' 'solo/instrumental'
 'solo/instrumental' 'verse']"
974,217.0,Never_Been_in_love,Anna_Troy,mp3,"[0.00000000e+00 1.62539682e-01 3.02832200e+00 2.69853288e+01
 5.11985488e+01 6.39699320e+01 8.76894785e+01 1.11601769e+02
 1.31598435e+02 1.55475510e+02 2.17218662e+02]","['silence' 'intro' 'verse' 'chorus' 'transition' 'verse' 'chorus'
 'transition' 'verse' 'chorus' 'silence']"
976,244.0,Morning_Dew,Art_Matthies,mp3,"[  0.           0.          14.02485261  51.97054422 102.67433107
 153.03927438 191.14129252]",['intro' 'silence' 'verse' 'verse' 'verse' 'verse' 'outro']
978,697.0,astralproject20030326t02shn,Astral_Project,mp3,"[  0.          40.34040816  55.60510204  71.56390023 102.50648526
 117.98680272 164.95482993 180.29070295 226.59517007 242.13877551
 257.48566893 296.99739229 312.62954648 360.36546485 407.32548753
 423.15750567 469.2669161  484.87727891 536.01022676 550.86664399
 565.72571428 594.73424036 609.54632653 624.13866213 639.22
 697.45714286]","['silence' 'solo/instrumental' 'solo/instrumental' 'solo/instrumental'
 'solo/instrumental' 'solo/instrumental' 'solo/instrumental'
 'solo/instrumental' 'solo/instrumental' 'solo/instrumental'
 'solo/instrumental' 'solo/instrumental' 'solo/instrumental'
 'solo/instrumental' 'solo/instrumental' 'solo/instrumental'
 'solo/instrumental' 'solo/instrumental' 'solo/instrumental'
 'solo/instrumental' 'solo/instrumental' 'solo/instrumental'
 'solo/instrumental' 'solo/instrumental' 'solo/instrumental' 'silence']"
980,253.0,Georgia_Peach_w_Scott_Stiert,August_Solstice,mp3,"[  0.          12.60843537  35.39367347  76.87013605 116.00965986
 205.27972789 229.42714286 253.27564626]","['silence' 'intro' 'solo/instrumental' 'bridge' 'solo/instrumental'
 'solo/instrumental' 'outro' 'silence']"
982,376.0,Tupelo_Honey,BLT,mp3,"[  0.           1.11455782  48.29750567  76.84981859 104.46231293
 132.51301587 159.92707483 187.67791383 215.45115646 243.13854875
 270.9884127  298.76029478]","['silence' 'intro' 'intro' 'verse' 'chorus' 'solo/instrumental' 'verse'
 'chorus' 'solo/instrumental' 'verse' 'chorus' 'outro']"
984,463.0,Scuba_Snacks,Baghdad_Scuba_Review,mp3,"[  0.           2.62385488   4.9977551   40.43907029  76.07394558
 157.38054422 177.01882086 257.029161   267.39365079 300.81857143
 428.94063492 463.44997732]","['silence' 'intro' 'chorus' 'chorus' 'solo/instrumental' 'chorus'
 'solo/instrumental' 'chorus' 'transition' 'solo/instrumental' 'outro'
 'silence']"
986,556.0,bip20090524t07flac,Bankrupt_in_Panama,mp3,"[0.00000000e+00 4.06349200e-02 1.17844898e+02 1.66981429e+02
 2.06264354e+02 2.36004649e+02 2.76177007e+02 3.15442381e+02
 3.54273152e+02 3.83252132e+02 4.12339070e+02 4.41285646e+02
 4.70068141e+02 4.98445102e+02 5.26344467e+02 5.56956735e+02]","['silence' 'solo/instrumental' 'intro' 'verse' 'verse' 'verse' 'verse'
 'verse' 'verse' 'verse' 'verse' 'verse' 'verse' 'verse' 'outro' 'silence']"
988,407.0,Wondering_Where_The_Lions_Are_Bruce_Cockburn,Barefootin,mp3,"[  0.          11.08848073  43.00818594  61.91931973  86.751678
 111.40725624 123.63845805 148.22251701 148.22251701 169.09986395
 186.91929705 204.8792517  231.81346939 231.81346939 284.14192744
 301.41328798 321.78897959 321.78897959 321.78897959 407.48952381]","['silence' 'intro' 'verse' 'verse' 'verse' 'verse' 'chorus'
 'solo/instrumental' 'solo/instrumental' 'verse' 'verse' 'chorus'
 'solo/instrumental' 'solo/instrumental' 'verse' 'chorus'
 'solo/instrumental' 'outro' 'solo/instrumental' 'silence']"
990,196.0,COMING_DOWN,Barry_And_The_Penetrators,mp3,"[0.00000000e+00 4.64399090e-02 4.81954195e+01 1.17535533e+02
 1.32016327e+02 1.89739592e+02 1.96790998e+02]",['silence' 'intro' 'verse' 'bridge' 'verse' 'live' 'silence']
992,261.0,Mexican_Radio,Basement_Generals,mp3,"[  0.          31.11473923  48.80834467  66.46560091  78.3770068
  90.29192744 102.20251701 114.03319728 126.07834467 138.14877551
 150.16267574 168.1692517  180.48870748 192.76907029 205.01789116
 217.15029478]","['silence' 'intro' 'solo/instrumental' 'verse' 'verse' 'chorus'
 'solo/instrumental' 'verse' 'chorus' 'chorus' 'solo/instrumental' 'verse'
 'verse' 'chorus' 'chorus' 'solo/instrumental']"
994,248.0,Creative_Process,Beefy,mp3,"[  0.           7.21956916  32.49902494  83.23977324 108.62
 159.01197279]",['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus']
996,217.0,A_Lack_of_Color,Ben_Gibbard,mp3,"[  0.           2.20408163  15.47755102  43.04387755  70.02482993
  96.83265306 123.75965986 165.7961678  179.07861678 217.18204082]","['silence' 'intro' 'verse' 'verse' 'chorus' 'verse' 'bridge' 'transition'
 'outro' 'silence']"
998,471.0,They_Love_Each_Other,Big_Blue,mp3,"[0.00000000e+00 6.09523800e-02 4.20649887e+01 6.79996372e+01
 8.33846259e+01 9.35937415e+01 1.19165442e+02 1.34558027e+02
 1.44889116e+02 2.46978753e+02 2.72552698e+02 2.87681474e+02
 2.97969705e+02 3.48679478e+02 3.99041088e+02 4.42622562e+02
 4.57735420e+02]","['silence' 'intro' 'verse' 'chorus' 'transition' 'verse' 'chorus'
 'transition' 'solo/instrumental' 'verse' 'chorus' 'transition'
 'solo/instrumental' 'solo/instrumental' 'verse' 'chorus' 'outro']"
1000,399.0,Hideout___6_39,Big_Island_Shindig,mp3,"[0.00000000e+00 4.93424030e-02 2.39354649e+01 5.07805442e+01
 7.65743537e+01 1.72408163e+02 3.17868458e+02]","['silence' 'intro' 'verse' 'verse' 'solo/instrumental' 'solo/instrumental'
 'verse']"
1004,288.0,Fearless,Big_Whiskey,mp3,"[  0.           0.58049887   4.2492517   30.16129252  44.89199546
  74.25741496  81.81628118 112.74310657 119.73303855 148.78804989
 170.42131519 177.56013605 206.09439909 213.18453515 242.67043084
 249.55773243 288.0493424 ]","['silence' 'intro' 'transition' 'transition' 'verse' 'transition' 'chorus'
 'transition' 'transition' 'transition' 'transition' 'verse' 'transition'
 'chorus' 'transition' 'transition' 'silence']"
1006,258.0,The_Navy_Song,Billy_Talent,mp3,"[0.00000000e+00 4.89795910e-02 1.37122222e+01 2.79511111e+01
 3.49032653e+01 4.91822902e+01 6.30625397e+01 8.98942177e+01
 9.68594785e+01 1.11048299e+02 1.24906984e+02 1.51695442e+02
 1.58426916e+02 1.78659546e+02 1.92179138e+02 2.18715079e+02
 2.45259025e+02 2.58094127e+02]","['silence' 'intro' 'verse' 'bridge' 'verse' 'bridge' 'chorus' 'bridge'
 'verse' 'bridge' 'chorus' 'bridge' 'chorus' 'bridge' 'chorus' 'chorus'
 'outro' 'silence']"
1008,419.0,Special_Roll__6_59,Blacklite,mp3,"[0.00000000e+00 3.75510204e-01 7.10889796e+01 1.29665828e+02
 1.79632925e+02 2.54994921e+02 2.96701179e+02 4.01045079e+02
 4.19934694e+02]","['silence' 'intro' 'bridge' 'bridge' 'bridge' 'bridge' 'bridge' 'outro'
 'silence']"
1012,254.0,Lucky_to_Know_You,Blue_Merle,mp3,"[  0.           0.55727891   4.13437642  18.33922902  46.79238095
  75.34117914 103.52566893 132.13680272 158.75482993 187.168322
 215.86267574 254.00816327]","['silence' 'intro' 'solo/instrumental' 'verse' 'chorus' 'verse' 'chorus'
 'bridge' 'solo/instrumental' 'chorus' 'solo/instrumental' 'silence']"
1014,297.0,22xs,Blues_and_Lasers,mp3,"[  0.           1.34675737  51.22818594  66.43814059 108.07941043
 138.30637188 168.39442177 209.70941043 239.63394558 297.97006803]","['silence' 'solo/instrumental' 'transition' 'verse' 'chorus' 'transition'
 'verse' 'chorus' 'solo/instrumental' 'silence']"
1016,345.0,Lazy_Days,Bonjour__Ganesh_,mp3,"[0.00000000e+00 4.43333330e-02 2.17660625e+01 4.21930625e+01
 6.56686250e+01 8.62087500e+01 1.09729354e+02 1.35015375e+02
 1.55840125e+02 1.79140813e+02 2.18205333e+02 2.38328583e+02
 2.79439750e+02]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'transition' 'verse'
 'chorus' 'bridge' 'solo/instrumental' 'solo/instrumental' 'chorus']"
1018,247.0,Not,Box_O_Laffs,mp3,"[  0.           0.62693877  19.15687075  61.56408163  97.03795918
 131.27120181 166.49727891 200.39371882 247.1415873 ]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'verse' 'chorus'
 'silence']"
1020,199.0,Samba_,Brave_Combo,mp3,"[  0.           4.38857143  17.94188209  33.46424036  57.51866213
  71.14120181  84.72530612  98.48043084 112.24480726 126.15206349
 156.27770975 180.16714286 199.55102041]","['silence' 'intro' 'transition' 'transition' 'transition' 'chorus' 'verse'
 'chorus' 'verse' 'transition' 'transition' 'outro' 'silence']"
1022,225.0,San_Francisco,Brett_Dennen,mp3,"[0.00000000e+00 4.35374140e-02 2.20590476e+01 6.98899773e+01
 1.17485170e+02 1.42122721e+02 1.88548322e+02]",['silence' 'intro' 'chorus' 'chorus' 'bridge' 'solo/instrumental' 'chorus']
1024,214.0,Who_Makes_Your_Money,Britt_Daniel,mp3,"[  0.           1.41641723  12.4930839   34.21954649  48.94265306
  54.32714286  75.92394558  90.48115646  95.69709751 117.07104308
 122.33111111 143.93909297 159.31040816 214.22730159]","['silence' 'intro' 'verse' 'chorus' 'transition' 'verse' 'chorus'
 'transition' 'bridge' 'transition' 'verse' 'chorus' 'outro' 'silence']"
1026,343.0,evil_man,Brownfish,mp3,"[0.00000000e+00 2.61224480e-02 4.00068254e+01 7.50603175e+01
 9.29009524e+01 1.27994036e+02 1.45676372e+02 1.80658934e+02
 2.15973243e+02]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'solo/instrumental'
 'chorus' 'outro']"
