n_mels,window_type,window_length,oversampling,undersampling,smote,label_smearing,f_score,precision,recall,threshold,optimizer,epochs,batch_size
64,beats,17,,0.6,0.4,,0.17744847744847747,0.14888422767226014,0.2407679738562092,3,adam,40,64
64,beats,17,,0.6,0.4,,0.20780608280608281,0.32953897953897954,0.22023420479302833,3,adam,40,64
80,beats,9,,,,4,0.11390415140415144,0.23666666666666664,0.07671717171717173,3,adam,40,64
80,beats,13,,,,4,0.1261904761904762,0.3583333333333333,0.08088383838383839,3,adam,40,64
80,beats,17,,,,4,0.15915750915750915,0.4816666666666666,0.10151515151515153,3,adam,40,64
80,beats,21,,,,4,0.06633699633699634,0.22000000000000008,0.04194444444444444,3,adam,40,64
80,beats,25,,,,4,0.04505494505494505,0.09166666666666663,0.0302020202020202,3,adam,40,64
80,beats,33,,,,4,0.015384615384615384,0.1,0.008333333333333333,3,adam,40,64
80,beats,65,,,,4,0.03484848484848485,0.15,0.02,3,adam,40,64
80,beats,9,,,,plus/minus 2,0.2087079587079587,0.6166666666666667,0.13643939393939394,3,adam,40,64
80,beats,13,,,,plus/minus 2,0.11918414918414914,0.4666666666666667,0.07055555555555555,3,adam,40,64
80,beats,17,,,,plus/minus 2,0.030769230769230764,0.06666666666666668,0.02,3,adam,40,64
80,beats,17,,,,plus/minus 2,0.21742590742590745,0.525,0.14441919191919192,3,adam,40,64
80,beats,25,,,,plus/minus 2,0.13228438228438227,0.395,0.08444444444444445,3,adam,40,64
80,beats,33,,,,plus/minus 2,0.17087024087024089,0.5833333333333333,0.10373737373737377,3,adam,40,64
80,beats,65,,,,plus/minus 2,0.05707070707070708,0.25,0.0325,3,adam,40,64
8,beats,9,,,,plus/minus 2,0.14405270655270655,0.5,0.08819444444444445,3,adam,40,64
8,beats,17,,,,plus/minus 2,0.0,0.0,0.0,3,adam,40,64
8,beats,17,,,,plus/minus 2,0.03627450980392157,0.13888888888888887,0.02091503267973856,3,adam,40,64
8,beats,33,,,,plus/minus 2,0.09798941798941804,0.11805555555555555,0.08480392156862744,3,adam,40,64
8,beats,25,,,,plus/minus 2,0.05802005012531328,0.125,0.03819444444444445,3,adam,40,64
8,beats,41,,,,plus/minus 2,0.07896245059288537,0.12777777777777774,0.05841503267973858,3,adam,40,64
8,beats,17,,1.0,,,0.13651871004812186,0.17514430014430013,0.11327614379084967,3,adam,40,64
8,beats,33,,1.0,,,0.10551892551892554,0.15436507936507934,0.08133169934640523,3,adam,40,64
8,beats,9,,1.0,,,0.12171052631578948,0.5,0.07091503267973857,3,adam,40,64
16,beats,9,,1.0,,,0.06965488215488215,0.5,0.037581699346405234,3,adam,40,64
16,beats,17,,1.0,,,0.11363636363636365,0.4444444444444444,0.06597222222222222,3,adam,40,64
16,beats,33,,1.0,,,0.11468196457326893,0.1615079365079365,0.0917483660130719,3,adam,40,64
16,beats,65,,1.0,,,0.04784688995215312,0.0701058201058201,0.03819444444444445,3,adam,40,64
16,beats,13,,1.0,,,0.06965488215488215,0.5,0.037581699346405234,3,adam,40,64
16,beats,25,,1.0,,,0.10376794258373204,0.5277777777777778,0.05841503267973858,3,adam,40,64
16,beats,9,,0.6,0.4,,0.19305248165729536,0.1479125730474321,0.281113834422658,3,adam,40,64
16,beats,17,,0.6,0.4,,0.1862546073459775,0.13146997929606624,0.3257352941176471,3,adam,40,64
